Epoch: 1, Train Loss: 0.6930675193190005, Train Accuracy: 0.542736391694725, Val Loss: 0.6910968136756701, Val Accuracy: 0.50625, Learning Rate: 0.001, Epoch Duration: 31032 milliseconds
Epoch: 2, Train Loss: 0.6841615228562755, Train Accuracy: 0.5372737794612795, Val Loss: 0.6785563736121405, Val Accuracy: 0.50625, Learning Rate: 0.001, Epoch Duration: 10762 milliseconds
Epoch: 3, Train Loss: 0.6587102231544509, Train Accuracy: 0.5930836139169472, Val Loss: 0.6476930702295915, Val Accuracy: 0.66875, Learning Rate: 0.001, Epoch Duration: 10468 milliseconds
Epoch: 4, Train Loss: 0.6342060909576176, Train Accuracy: 0.6584683641975309, Val Loss: 0.6252432140447739, Val Accuracy: 0.68125, Learning Rate: 0.001, Epoch Duration: 10607 milliseconds
Epoch: 5, Train Loss: 0.6090140638723229, Train Accuracy: 0.6776269640852974, Val Loss: 0.5964348238226858, Val Accuracy: 0.7125, Learning Rate: 0.001, Epoch Duration: 10411 milliseconds
Epoch: 6, Train Loss: 0.5788608825175907, Train Accuracy: 0.6961104096520763, Val Loss: 0.5633572227271266, Val Accuracy: 0.71875, Learning Rate: 0.001, Epoch Duration: 10413 milliseconds
Epoch: 7, Train Loss: 0.5623893411463743, Train Accuracy: 0.7147429152637486, Val Loss: 0.5509078574537307, Val Accuracy: 0.71875, Learning Rate: 0.001, Epoch Duration: 10502 milliseconds
Epoch: 8, Train Loss: 0.5433683559908734, Train Accuracy: 0.7251157407407408, Val Loss: 0.5741187525496301, Val Accuracy: 0.725, Learning Rate: 0.001, Epoch Duration: 10432 milliseconds
Epoch: 9, Train Loss: 0.5622355302630118, Train Accuracy: 0.7087717452300786, Val Loss: 0.5531790981192468, Val Accuracy: 0.75625, Learning Rate: 0.001, Epoch Duration: 10405 milliseconds
Epoch: 10, Train Loss: 0.5477976312255154, Train Accuracy: 0.7268956930415263, Val Loss: 0.5726590178482559, Val Accuracy: 0.725, Learning Rate: 0.001, Epoch Duration: 10337 milliseconds
Epoch: 11, Train Loss: 0.5433591795128803, Train Accuracy: 0.7368038019079686, Val Loss: 0.5474925626310897, Val Accuracy: 0.73125, Learning Rate: 0.001, Epoch Duration: 10346 milliseconds
Epoch: 12, Train Loss: 0.5112356047552694, Train Accuracy: 0.7458000140291807, Val Loss: 0.5156352359523234, Val Accuracy: 0.74375, Learning Rate: 0.001, Epoch Duration: 10407 milliseconds
Epoch: 13, Train Loss: 0.4825551506760914, Train Accuracy: 0.7632926487093153, Val Loss: 0.4898596487018219, Val Accuracy: 0.7625, Learning Rate: 0.001, Epoch Duration: 10372 milliseconds
Epoch: 14, Train Loss: 0.449343490907383, Train Accuracy: 0.7824950897867564, Val Loss: 0.46289015482323503, Val Accuracy: 0.7625, Learning Rate: 0.001, Epoch Duration: 10408 milliseconds
Epoch: 15, Train Loss: 0.4465187829192206, Train Accuracy: 0.772692199775533, Val Loss: 0.455750270778588, Val Accuracy: 0.775, Learning Rate: 0.001, Epoch Duration: 10392 milliseconds
Epoch: 16, Train Loss: 0.44603279498716586, Train Accuracy: 0.7667210297418631, Val Loss: 0.46878756944799926, Val Accuracy: 0.825, Learning Rate: 0.001, Epoch Duration: 10344 milliseconds
Epoch: 17, Train Loss: 0.4178384718556954, Train Accuracy: 0.8031179854096521, Val Loss: 0.4077436628222883, Val Accuracy: 0.84375, Learning Rate: 0.001, Epoch Duration: 10370 milliseconds
Epoch: 18, Train Loss: 0.3953277692896622, Train Accuracy: 0.8008733164983165, Val Loss: 0.41016701744394835, Val Accuracy: 0.83125, Learning Rate: 0.001, Epoch Duration: 10304 milliseconds
Epoch: 19, Train Loss: 0.3708687477382862, Train Accuracy: 0.8260469276094277, Val Loss: 0.4148181943835728, Val Accuracy: 0.80625, Learning Rate: 0.001, Epoch Duration: 10385 milliseconds
Epoch: 20, Train Loss: 0.3548835619056653, Train Accuracy: 0.8240565375982043, Val Loss: 0.3791170813642254, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10380 milliseconds
Epoch: 21, Train Loss: 0.35930121270113363, Train Accuracy: 0.8329913720538721, Val Loss: 0.36046633780163834, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10308 milliseconds
Epoch: 22, Train Loss: 0.3438505228904512, Train Accuracy: 0.8497387065095398, Val Loss: 0.3688740065130702, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10370 milliseconds
Epoch: 23, Train Loss: 0.3276119682251396, Train Accuracy: 0.8477483164983165, Val Loss: 0.46014826132757936, Val Accuracy: 0.79375, Learning Rate: 0.001, Epoch Duration: 10353 milliseconds
Epoch: 24, Train Loss: 0.36347745764801886, Train Accuracy: 0.832526655443322, Val Loss: 0.37203887709623523, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10339 milliseconds
Epoch: 25, Train Loss: 0.3417317476041168, Train Accuracy: 0.8392168209876544, Val Loss: 0.34596289378504336, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10326 milliseconds
Epoch: 26, Train Loss: 0.3399988992946134, Train Accuracy: 0.8574021464646465, Val Loss: 0.34223845174916845, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10309 milliseconds
Epoch: 27, Train Loss: 0.3150693660589933, Train Accuracy: 0.8586735409652076, Val Loss: 0.3326122575884752, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10305 milliseconds
Epoch: 28, Train Loss: 0.3138328848479669, Train Accuracy: 0.8569374298540965, Val Loss: 0.3432387073127421, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10300 milliseconds
Epoch: 29, Train Loss: 0.2985642379160678, Train Accuracy: 0.8671436588103254, Val Loss: 0.33525492707655463, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10937 milliseconds
Epoch: 30, Train Loss: 0.2840181867303768, Train Accuracy: 0.8695987654320988, Val Loss: 0.3223140010267056, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 11623 milliseconds
Epoch: 31, Train Loss: 0.28128897521465035, Train Accuracy: 0.8737899831649831, Val Loss: 0.3479029656246649, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 11062 milliseconds
Epoch: 32, Train Loss: 0.28901806598810986, Train Accuracy: 0.8712296576879911, Val Loss: 0.3559001874273015, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10509 milliseconds
Epoch: 33, Train Loss: 0.2923735706051214, Train Accuracy: 0.8676083754208754, Val Loss: 0.3305584978656228, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10436 milliseconds
Epoch: 34, Train Loss: 0.2703475781131987, Train Accuracy: 0.8779198232323232, Val Loss: 0.33282050625381804, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10465 milliseconds
Epoch: 35, Train Loss: 0.2646055252603659, Train Accuracy: 0.887214155443322, Val Loss: 0.3174034027097999, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10508 milliseconds
Epoch: 36, Train Loss: 0.26961082813276926, Train Accuracy: 0.8848642676767677, Val Loss: 0.30040193102250107, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10551 milliseconds
Epoch: 37, Train Loss: 0.2659987713607641, Train Accuracy: 0.8790421576879911, Val Loss: 0.3233794471455286, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10483 milliseconds
Epoch: 38, Train Loss: 0.2597024623898042, Train Accuracy: 0.8801206509539843, Val Loss: 0.33440540070750174, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10491 milliseconds
Epoch: 39, Train Loss: 0.25095676521940674, Train Accuracy: 0.8920191498316498, Val Loss: 0.2923859771046967, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10509 milliseconds
Epoch: 40, Train Loss: 0.23704538005424217, Train Accuracy: 0.8957456509539843, Val Loss: 0.33179121877944906, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10483 milliseconds
Epoch: 41, Train Loss: 0.24809610873888888, Train Accuracy: 0.8874684343434344, Val Loss: 0.3198979252763084, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10535 milliseconds
Epoch: 42, Train Loss: 0.23461672234734512, Train Accuracy: 0.9000245510662178, Val Loss: 0.3197858045336631, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10519 milliseconds
Epoch: 43, Train Loss: 0.2270501553200543, Train Accuracy: 0.9058466610549945, Val Loss: 0.2920977587669784, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10498 milliseconds
Epoch: 44, Train Loss: 0.22659214463307484, Train Accuracy: 0.9076879910213242, Val Loss: 0.28198610199245533, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10518 milliseconds
Epoch: 45, Train Loss: 0.2331090347973398, Train Accuracy: 0.9012521043771043, Val Loss: 0.31992973308634604, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10582 milliseconds
Epoch: 46, Train Loss: 0.25531303176270126, Train Accuracy: 0.8925277076318743, Val Loss: 0.3521688944175511, Val Accuracy: 0.83125, Learning Rate: 0.001, Epoch Duration: 10488 milliseconds
Epoch: 47, Train Loss: 0.23089302873312478, Train Accuracy: 0.9027953142536477, Val Loss: 0.3057998743946871, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10558 milliseconds
Epoch: 48, Train Loss: 0.21916367448403481, Train Accuracy: 0.9018658810325477, Val Loss: 0.30521127211225607, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10518 milliseconds
Epoch: 49, Train Loss: 0.2127433169704506, Train Accuracy: 0.9107568742985409, Val Loss: 0.3513712034326512, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10514 milliseconds
Epoch: 50, Train Loss: 0.20400885025599308, Train Accuracy: 0.9130015432098766, Val Loss: 0.31936062577859586, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10508 milliseconds
Epoch: 51, Train Loss: 0.19731177998256796, Train Accuracy: 0.9158599887766555, Val Loss: 0.2935865678401165, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10560 milliseconds
Epoch: 52, Train Loss: 0.18674596589437398, Train Accuracy: 0.9257680976430976, Val Loss: 0.2884355570686773, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10602 milliseconds
Epoch: 53, Train Loss: 0.19054788695588154, Train Accuracy: 0.9297488776655444, Val Loss: 0.2838534876174629, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10535 milliseconds
Epoch: 54, Train Loss: 0.176762859260832, Train Accuracy: 0.9312745510662178, Val Loss: 0.28337483118890466, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10528 milliseconds
Epoch: 55, Train Loss: 0.18120099915628132, Train Accuracy: 0.9271885521885521, Val Loss: 0.2790380032969239, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10542 milliseconds
Epoch: 56, Train Loss: 0.1798230538684988, Train Accuracy: 0.9286703843995512, Val Loss: 0.3079083352466698, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10505 milliseconds
Epoch: 57, Train Loss: 0.15678842274468344, Train Accuracy: 0.9389379910213242, Val Loss: 0.33191626709775235, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10562 milliseconds
Epoch: 58, Train Loss: 0.165388365767817, Train Accuracy: 0.9333701599326599, Val Loss: 0.3044209366858003, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10523 milliseconds
Epoch: 59, Train Loss: 0.1475191901712361, Train Accuracy: 0.9416912177328844, Val Loss: 0.3336750176243914, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10585 milliseconds
Epoch: 60, Train Loss: 0.14967972208103633, Train Accuracy: 0.9363338243546576, Val Loss: 0.350423086554276, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10508 milliseconds
Epoch: 61, Train Loss: 0.15042597288205814, Train Accuracy: 0.9408231621773289, Val Loss: 0.3020336969049676, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10497 milliseconds
Epoch: 62, Train Loss: 0.13051016577193217, Train Accuracy: 0.9508803310886643, Val Loss: 0.2986739551089343, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10612 milliseconds
Epoch: 63, Train Loss: 0.13548215938358665, Train Accuracy: 0.9476185465768798, Val Loss: 0.3020063001437212, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10553 milliseconds
Epoch: 64, Train Loss: 0.12743582508860743, Train Accuracy: 0.9550715488215489, Val Loss: 0.33838530157305546, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10574 milliseconds
Epoch: 65, Train Loss: 0.11690545749184829, Train Accuracy: 0.9597713243546576, Val Loss: 0.2954231295725725, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10642 milliseconds
Epoch: 66, Train Loss: 0.11129915457390425, Train Accuracy: 0.9607884399551067, Val Loss: 0.3039081963196726, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10596 milliseconds
Epoch: 67, Train Loss: 0.12358683853403456, Train Accuracy: 0.96140221661055, Val Loss: 0.28188660567854346, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10575 milliseconds
Epoch: 68, Train Loss: 0.12445278137996578, Train Accuracy: 0.9595608866442199, Val Loss: 0.2996800129316308, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10563 milliseconds
Epoch: 69, Train Loss: 0.11274908817505584, Train Accuracy: 0.9653829966329965, Val Loss: 0.2915388391042092, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10620 milliseconds
Epoch: 70, Train Loss: 0.10469096822178678, Train Accuracy: 0.9682414421997755, Val Loss: 0.28226074367964016, Val Accuracy: 0.89375, Learning Rate: 0.001, Epoch Duration: 10554 milliseconds
Epoch: 71, Train Loss: 0.10629754292252735, Train Accuracy: 0.9705913299663299, Val Loss: 0.36460867392633156, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10589 milliseconds
Epoch: 72, Train Loss: 0.11220359286397391, Train Accuracy: 0.9640063832772167, Val Loss: 0.30722925977245147, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10533 milliseconds
Epoch: 73, Train Loss: 0.09623716009218813, Train Accuracy: 0.9737040544332211, Val Loss: 0.28139023416596187, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10514 milliseconds
Epoch: 74, Train Loss: 0.08636600878328543, Train Accuracy: 0.9761591610549945, Val Loss: 0.32847891651700933, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10551 milliseconds
Epoch: 75, Train Loss: 0.08794692673653468, Train Accuracy: 0.9754401655443322, Val Loss: 0.34582834708501786, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10536 milliseconds
Epoch: 76, Train Loss: 0.07726757582205322, Train Accuracy: 0.9789123877665544, Val Loss: 0.32299847123915987, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10754 milliseconds
Epoch: 77, Train Loss: 0.07418210794808106, Train Accuracy: 0.9831036054994389, Val Loss: 0.297597496558552, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10532 milliseconds
Epoch: 78, Train Loss: 0.07138194386043308, Train Accuracy: 0.9853482744107743, Val Loss: 0.29529929951302275, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10597 milliseconds
Epoch: 79, Train Loss: 0.0634164237087235, Train Accuracy: 0.980139941077441, Val Loss: 0.3201034818024198, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10584 milliseconds
Epoch: 80, Train Loss: 0.05962840127569645, Train Accuracy: 0.9842259399551067, Val Loss: 0.3819040145624958, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10569 milliseconds
